fund_name,manager_name,vintage_year,strategy,geography,irr,tvpi,dpi,nav,commitment,paid_in,distributions,fund_size,source_name,source_file,source_page,raw_text,data_quality_flag,irr_numeric,tvpi_numeric,dpi_numeric,irr_vintage_percentile,irr_vintage_quartile,tvpi_vintage_percentile,tvpi_vintage_quartile,dpi_vintage_percentile,dpi_vintage_quartile,irr_quartile_score,tvpi_quartile_score,dpi_quartile_score,overall_quartile_score,overall_vintage_quartile,vintage_benchmark_label,internal_score,allocator_memo_short
* MA General Atlantic GA Atlas II 2022**,* MA General Atlantic GA Atlas,2024.0,growth,north_america,,,,,,,,$600,Evercore PFG,Evercore PFG - North America Growth Market Map - H1 2026.pdf,11,"2024 2025 2026 Post- 2026 H2 H1 H2 H1 H2 H1 H2 Goldman Sachs Asset Management West Street Global Growth Partners Fund II 2021** $5,200** NY Coatue Management Coatue Growth Fund VI 2021** $7,700** NY Victor Capital Partners Victor Capital Partners Fund III 2022** $310** NY Humble Growth Humble Growth Fund II 2022** $313** NY Rosecliff Ventures Rosecliff Venture Partners IX 2022** $349** NY 1315 Capital 1315 Capital IV 2022** $350** PA Aquiline Capital Partners Aquiline Technology Growth Fund III 2022** $365** NY Exeter Capital Exeter Capital II 2022** $400** MA The Chertoff Group MC2 Security Fund II 2022** $400** DC Greycroft Greycroft Growth V 2022** $432** NY Revolution Ventures Revolution Growth V 2022** $500** DC MVM Partners MVM VII 2022** $516** MA General Atlantic GA Atlas II 2022** $600** NY The Raine Group Raine Partners V 2022** $763** NY JP Morgan Asset Management 270 Growth Fund II 2022** $869** NY Arsenal Capital Partners Arsenal Capital Growth Fund II 2022** $1,100** NY Evolution Equity Partners The Evolution Technology Fund IV 2022** $1,100** NY Ampersand Capital Partners Ampersand 2026 2022** $1,200** MA Spectrum Equity Spectrum Equity XI 2022** $2,000** MA KKR KKR Next Generation Technology Growth Fund IV 2022** $3,000** NY RedBird Capital Partners RedBird Capital Partners Fund V 2022** $4,700** NY Bluestone Equity Partners Bluestone Capital II 2023** $300** NY Orkila Capital Orkila Growth Fund V 2023** $325** NY M33 Growth M33 Growth IV 2023** $340** MA MSP Sports Capital MSP Sports Capital II 2023** $400** NY Princeton Equity Group Princeton Equity Partners III 2023** $575** NJ Long Ridge Long Ridge Equity Partners V 2023** $650** NY Volition Capital Volition Capital Fund VI 2023** $675** MA JP Morgan Asset Management JP Morgan Growth Equity Fund II 2023** $1,000** NY WestView Capital Partners WestView Capital Partners VI 2023** $1,000** MA Carlyle Carlyle Partners Growth II 2023** $1,300** DC Wellington Management Wellington Hadley Harbor Partners V 2023** $2,600** MA Spectrum Equity Spectrum Select Opportunities Fund II 2024** $300** MA Boston Millennia Partners Boston Millennia Partners VI 2023** $250** MA NGP Energy Technology Partners NGP Energy Technology Partners V 2023** $700** DC Sverica Sverica Capital Partners VII 2023** $750** MA",needs_review_possible_merged_name,,,,,,,,,,,,,,,Insufficient performance data,,"* MA General Atlantic GA Atlas II 2022** by * MA General Atlantic GA Atlas is included from Evercore PFG - North America Growth Market Map - H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
* MA Spectrum Equity Spectrum Equity XI 2022**,* MA Spectrum Equity,2024.0,growth,north_america,,,,,,,,"$2,000",Evercore PFG,Evercore PFG - North America Growth Market Map - H1 2026.pdf,11,"2024 2025 2026 Post- 2026 H2 H1 H2 H1 H2 H1 H2 Goldman Sachs Asset Management West Street Global Growth Partners Fund II 2021** $5,200** NY Coatue Management Coatue Growth Fund VI 2021** $7,700** NY Victor Capital Partners Victor Capital Partners Fund III 2022** $310** NY Humble Growth Humble Growth Fund II 2022** $313** NY Rosecliff Ventures Rosecliff Venture Partners IX 2022** $349** NY 1315 Capital 1315 Capital IV 2022** $350** PA Aquiline Capital Partners Aquiline Technology Growth Fund III 2022** $365** NY Exeter Capital Exeter Capital II 2022** $400** MA The Chertoff Group MC2 Security Fund II 2022** $400** DC Greycroft Greycroft Growth V 2022** $432** NY Revolution Ventures Revolution Growth V 2022** $500** DC MVM Partners MVM VII 2022** $516** MA General Atlantic GA Atlas II 2022** $600** NY The Raine Group Raine Partners V 2022** $763** NY JP Morgan Asset Management 270 Growth Fund II 2022** $869** NY Arsenal Capital Partners Arsenal Capital Growth Fund II 2022** $1,100** NY Evolution Equity Partners The Evolution Technology Fund IV 2022** $1,100** NY Ampersand Capital Partners Ampersand 2026 2022** $1,200** MA Spectrum Equity Spectrum Equity XI 2022** $2,000** MA KKR KKR Next Generation Technology Growth Fund IV 2022** $3,000** NY RedBird Capital Partners RedBird Capital Partners Fund V 2022** $4,700** NY Bluestone Equity Partners Bluestone Capital II 2023** $300** NY Orkila Capital Orkila Growth Fund V 2023** $325** NY M33 Growth M33 Growth IV 2023** $340** MA MSP Sports Capital MSP Sports Capital II 2023** $400** NY Princeton Equity Group Princeton Equity Partners III 2023** $575** NJ Long Ridge Long Ridge Equity Partners V 2023** $650** NY Volition Capital Volition Capital Fund VI 2023** $675** MA JP Morgan Asset Management JP Morgan Growth Equity Fund II 2023** $1,000** NY WestView Capital Partners WestView Capital Partners VI 2023** $1,000** MA Carlyle Carlyle Partners Growth II 2023** $1,300** DC Wellington Management Wellington Hadley Harbor Partners V 2023** $2,600** MA Spectrum Equity Spectrum Select Opportunities Fund II 2024** $300** MA Boston Millennia Partners Boston Millennia Partners VI 2023** $250** MA NGP Energy Technology Partners NGP Energy Technology Partners V 2023** $700** DC Sverica Sverica Capital Partners VII 2023** $750** MA",needs_review_possible_merged_name,,,,,,,,,,,,,,,Insufficient performance data,,"* MA Spectrum Equity Spectrum Equity XI 2022** by * MA Spectrum Equity is included from Evercore PFG - North America Growth Market Map - H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
* NY 1315 Capital 1315 Capital IV 2022**,* NY 1315 Capital,2024.0,growth,north_america,,,,,,,,$350,Evercore PFG,Evercore PFG - North America Growth Market Map - H1 2026.pdf,11,"2024 2025 2026 Post- 2026 H2 H1 H2 H1 H2 H1 H2 Goldman Sachs Asset Management West Street Global Growth Partners Fund II 2021** $5,200** NY Coatue Management Coatue Growth Fund VI 2021** $7,700** NY Victor Capital Partners Victor Capital Partners Fund III 2022** $310** NY Humble Growth Humble Growth Fund II 2022** $313** NY Rosecliff Ventures Rosecliff Venture Partners IX 2022** $349** NY 1315 Capital 1315 Capital IV 2022** $350** PA Aquiline Capital Partners Aquiline Technology Growth Fund III 2022** $365** NY Exeter Capital Exeter Capital II 2022** $400** MA The Chertoff Group MC2 Security Fund II 2022** $400** DC Greycroft Greycroft Growth V 2022** $432** NY Revolution Ventures Revolution Growth V 2022** $500** DC MVM Partners MVM VII 2022** $516** MA General Atlantic GA Atlas II 2022** $600** NY The Raine Group Raine Partners V 2022** $763** NY JP Morgan Asset Management 270 Growth Fund II 2022** $869** NY Arsenal Capital Partners Arsenal Capital Growth Fund II 2022** $1,100** NY Evolution Equity Partners The Evolution Technology Fund IV 2022** $1,100** NY Ampersand Capital Partners Ampersand 2026 2022** $1,200** MA Spectrum Equity Spectrum Equity XI 2022** $2,000** MA KKR KKR Next Generation Technology Growth Fund IV 2022** $3,000** NY RedBird Capital Partners RedBird Capital Partners Fund V 2022** $4,700** NY Bluestone Equity Partners Bluestone Capital II 2023** $300** NY Orkila Capital Orkila Growth Fund V 2023** $325** NY M33 Growth M33 Growth IV 2023** $340** MA MSP Sports Capital MSP Sports Capital II 2023** $400** NY Princeton Equity Group Princeton Equity Partners III 2023** $575** NJ Long Ridge Long Ridge Equity Partners V 2023** $650** NY Volition Capital Volition Capital Fund VI 2023** $675** MA JP Morgan Asset Management JP Morgan Growth Equity Fund II 2023** $1,000** NY WestView Capital Partners WestView Capital Partners VI 2023** $1,000** MA Carlyle Carlyle Partners Growth II 2023** $1,300** DC Wellington Management Wellington Hadley Harbor Partners V 2023** $2,600** MA Spectrum Equity Spectrum Select Opportunities Fund II 2024** $300** MA Boston Millennia Partners Boston Millennia Partners VI 2023** $250** MA NGP Energy Technology Partners NGP Energy Technology Partners V 2023** $700** DC Sverica Sverica Capital Partners VII 2023** $750** MA",needs_review_possible_merged_name,,,,,,,,,,,,,,,Insufficient performance data,,"* NY 1315 Capital 1315 Capital IV 2022** by * NY 1315 Capital is included from Evercore PFG - North America Growth Market Map - H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
* NY Ampersand Capital Partners Ampersand 2026 2022**,* NY Ampersand Capital,2024.0,growth,north_america,,,,,,,,"$1,200",Evercore PFG,Evercore PFG - North America Growth Market Map - H1 2026.pdf,11,"2024 2025 2026 Post- 2026 H2 H1 H2 H1 H2 H1 H2 Goldman Sachs Asset Management West Street Global Growth Partners Fund II 2021** $5,200** NY Coatue Management Coatue Growth Fund VI 2021** $7,700** NY Victor Capital Partners Victor Capital Partners Fund III 2022** $310** NY Humble Growth Humble Growth Fund II 2022** $313** NY Rosecliff Ventures Rosecliff Venture Partners IX 2022** $349** NY 1315 Capital 1315 Capital IV 2022** $350** PA Aquiline Capital Partners Aquiline Technology Growth Fund III 2022** $365** NY Exeter Capital Exeter Capital II 2022** $400** MA The Chertoff Group MC2 Security Fund II 2022** $400** DC Greycroft Greycroft Growth V 2022** $432** NY Revolution Ventures Revolution Growth V 2022** $500** DC MVM Partners MVM VII 2022** $516** MA General Atlantic GA Atlas II 2022** $600** NY The Raine Group Raine Partners V 2022** $763** NY JP Morgan Asset Management 270 Growth Fund II 2022** $869** NY Arsenal Capital Partners Arsenal Capital Growth Fund II 2022** $1,100** NY Evolution Equity Partners The Evolution Technology Fund IV 2022** $1,100** NY Ampersand Capital Partners Ampersand 2026 2022** $1,200** MA Spectrum Equity Spectrum Equity XI 2022** $2,000** MA KKR KKR Next Generation Technology Growth Fund IV 2022** $3,000** NY RedBird Capital Partners RedBird Capital Partners Fund V 2022** $4,700** NY Bluestone Equity Partners Bluestone Capital II 2023** $300** NY Orkila Capital Orkila Growth Fund V 2023** $325** NY M33 Growth M33 Growth IV 2023** $340** MA MSP Sports Capital MSP Sports Capital II 2023** $400** NY Princeton Equity Group Princeton Equity Partners III 2023** $575** NJ Long Ridge Long Ridge Equity Partners V 2023** $650** NY Volition Capital Volition Capital Fund VI 2023** $675** MA JP Morgan Asset Management JP Morgan Growth Equity Fund II 2023** $1,000** NY WestView Capital Partners WestView Capital Partners VI 2023** $1,000** MA Carlyle Carlyle Partners Growth II 2023** $1,300** DC Wellington Management Wellington Hadley Harbor Partners V 2023** $2,600** MA Spectrum Equity Spectrum Select Opportunities Fund II 2024** $300** MA Boston Millennia Partners Boston Millennia Partners VI 2023** $250** MA NGP Energy Technology Partners NGP Energy Technology Partners V 2023** $700** DC Sverica Sverica Capital Partners VII 2023** $750** MA",needs_review_possible_merged_name,,,,,,,,,,,,,,,Insufficient performance data,,"* NY Ampersand Capital Partners Ampersand 2026 2022** by * NY Ampersand Capital is included from Evercore PFG - North America Growth Market Map - H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
* NY Bluestone Equity Partners Bluestone Capital II 2023**,* NY Bluestone Equity,2024.0,growth,north_america,,,,,,,,$300,Evercore PFG,Evercore PFG - North America Growth Market Map - H1 2026.pdf,11,"2024 2025 2026 Post- 2026 H2 H1 H2 H1 H2 H1 H2 Goldman Sachs Asset Management West Street Global Growth Partners Fund II 2021** $5,200** NY Coatue Management Coatue Growth Fund VI 2021** $7,700** NY Victor Capital Partners Victor Capital Partners Fund III 2022** $310** NY Humble Growth Humble Growth Fund II 2022** $313** NY Rosecliff Ventures Rosecliff Venture Partners IX 2022** $349** NY 1315 Capital 1315 Capital IV 2022** $350** PA Aquiline Capital Partners Aquiline Technology Growth Fund III 2022** $365** NY Exeter Capital Exeter Capital II 2022** $400** MA The Chertoff Group MC2 Security Fund II 2022** $400** DC Greycroft Greycroft Growth V 2022** $432** NY Revolution Ventures Revolution Growth V 2022** $500** DC MVM Partners MVM VII 2022** $516** MA General Atlantic GA Atlas II 2022** $600** NY The Raine Group Raine Partners V 2022** $763** NY JP Morgan Asset Management 270 Growth Fund II 2022** $869** NY Arsenal Capital Partners Arsenal Capital Growth Fund II 2022** $1,100** NY Evolution Equity Partners The Evolution Technology Fund IV 2022** $1,100** NY Ampersand Capital Partners Ampersand 2026 2022** $1,200** MA Spectrum Equity Spectrum Equity XI 2022** $2,000** MA KKR KKR Next Generation Technology Growth Fund IV 2022** $3,000** NY RedBird Capital Partners RedBird Capital Partners Fund V 2022** $4,700** NY Bluestone Equity Partners Bluestone Capital II 2023** $300** NY Orkila Capital Orkila Growth Fund V 2023** $325** NY M33 Growth M33 Growth IV 2023** $340** MA MSP Sports Capital MSP Sports Capital II 2023** $400** NY Princeton Equity Group Princeton Equity Partners III 2023** $575** NJ Long Ridge Long Ridge Equity Partners V 2023** $650** NY Volition Capital Volition Capital Fund VI 2023** $675** MA JP Morgan Asset Management JP Morgan Growth Equity Fund II 2023** $1,000** NY WestView Capital Partners WestView Capital Partners VI 2023** $1,000** MA Carlyle Carlyle Partners Growth II 2023** $1,300** DC Wellington Management Wellington Hadley Harbor Partners V 2023** $2,600** MA Spectrum Equity Spectrum Select Opportunities Fund II 2024** $300** MA Boston Millennia Partners Boston Millennia Partners VI 2023** $250** MA NGP Energy Technology Partners NGP Energy Technology Partners V 2023** $700** DC Sverica Sverica Capital Partners VII 2023** $750** MA",needs_review_possible_merged_name,,,,,,,,,,,,,,,Insufficient performance data,,"* NY Bluestone Equity Partners Bluestone Capital II 2023** by * NY Bluestone Equity is included from Evercore PFG - North America Growth Market Map - H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
* NY Coatue Management Coatue Growth Fund VI 2021**,* NY Coatue Management,2024.0,growth,north_america,,,,,,,,"$7,700",Evercore PFG,Evercore PFG - North America Growth Market Map - H1 2026.pdf,11,"2024 2025 2026 Post- 2026 H2 H1 H2 H1 H2 H1 H2 Goldman Sachs Asset Management West Street Global Growth Partners Fund II 2021** $5,200** NY Coatue Management Coatue Growth Fund VI 2021** $7,700** NY Victor Capital Partners Victor Capital Partners Fund III 2022** $310** NY Humble Growth Humble Growth Fund II 2022** $313** NY Rosecliff Ventures Rosecliff Venture Partners IX 2022** $349** NY 1315 Capital 1315 Capital IV 2022** $350** PA Aquiline Capital Partners Aquiline Technology Growth Fund III 2022** $365** NY Exeter Capital Exeter Capital II 2022** $400** MA The Chertoff Group MC2 Security Fund II 2022** $400** DC Greycroft Greycroft Growth V 2022** $432** NY Revolution Ventures Revolution Growth V 2022** $500** DC MVM Partners MVM VII 2022** $516** MA General Atlantic GA Atlas II 2022** $600** NY The Raine Group Raine Partners V 2022** $763** NY JP Morgan Asset Management 270 Growth Fund II 2022** $869** NY Arsenal Capital Partners Arsenal Capital Growth Fund II 2022** $1,100** NY Evolution Equity Partners The Evolution Technology Fund IV 2022** $1,100** NY Ampersand Capital Partners Ampersand 2026 2022** $1,200** MA Spectrum Equity Spectrum Equity XI 2022** $2,000** MA KKR KKR Next Generation Technology Growth Fund IV 2022** $3,000** NY RedBird Capital Partners RedBird Capital Partners Fund V 2022** $4,700** NY Bluestone Equity Partners Bluestone Capital II 2023** $300** NY Orkila Capital Orkila Growth Fund V 2023** $325** NY M33 Growth M33 Growth IV 2023** $340** MA MSP Sports Capital MSP Sports Capital II 2023** $400** NY Princeton Equity Group Princeton Equity Partners III 2023** $575** NJ Long Ridge Long Ridge Equity Partners V 2023** $650** NY Volition Capital Volition Capital Fund VI 2023** $675** MA JP Morgan Asset Management JP Morgan Growth Equity Fund II 2023** $1,000** NY WestView Capital Partners WestView Capital Partners VI 2023** $1,000** MA Carlyle Carlyle Partners Growth II 2023** $1,300** DC Wellington Management Wellington Hadley Harbor Partners V 2023** $2,600** MA Spectrum Equity Spectrum Select Opportunities Fund II 2024** $300** MA Boston Millennia Partners Boston Millennia Partners VI 2023** $250** MA NGP Energy Technology Partners NGP Energy Technology Partners V 2023** $700** DC Sverica Sverica Capital Partners VII 2023** $750** MA",needs_review_possible_merged_name,,,,,,,,,,,,,,,Insufficient performance data,,"* NY Coatue Management Coatue Growth Fund VI 2021** by * NY Coatue Management is included from Evercore PFG - North America Growth Market Map - H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
* NY Exeter Capital Exeter Capital II 2022**,* NY Exeter Capital,2024.0,growth,north_america,,,,,,,,$400,Evercore PFG,Evercore PFG - North America Growth Market Map - H1 2026.pdf,11,"2024 2025 2026 Post- 2026 H2 H1 H2 H1 H2 H1 H2 Goldman Sachs Asset Management West Street Global Growth Partners Fund II 2021** $5,200** NY Coatue Management Coatue Growth Fund VI 2021** $7,700** NY Victor Capital Partners Victor Capital Partners Fund III 2022** $310** NY Humble Growth Humble Growth Fund II 2022** $313** NY Rosecliff Ventures Rosecliff Venture Partners IX 2022** $349** NY 1315 Capital 1315 Capital IV 2022** $350** PA Aquiline Capital Partners Aquiline Technology Growth Fund III 2022** $365** NY Exeter Capital Exeter Capital II 2022** $400** MA The Chertoff Group MC2 Security Fund II 2022** $400** DC Greycroft Greycroft Growth V 2022** $432** NY Revolution Ventures Revolution Growth V 2022** $500** DC MVM Partners MVM VII 2022** $516** MA General Atlantic GA Atlas II 2022** $600** NY The Raine Group Raine Partners V 2022** $763** NY JP Morgan Asset Management 270 Growth Fund II 2022** $869** NY Arsenal Capital Partners Arsenal Capital Growth Fund II 2022** $1,100** NY Evolution Equity Partners The Evolution Technology Fund IV 2022** $1,100** NY Ampersand Capital Partners Ampersand 2026 2022** $1,200** MA Spectrum Equity Spectrum Equity XI 2022** $2,000** MA KKR KKR Next Generation Technology Growth Fund IV 2022** $3,000** NY RedBird Capital Partners RedBird Capital Partners Fund V 2022** $4,700** NY Bluestone Equity Partners Bluestone Capital II 2023** $300** NY Orkila Capital Orkila Growth Fund V 2023** $325** NY M33 Growth M33 Growth IV 2023** $340** MA MSP Sports Capital MSP Sports Capital II 2023** $400** NY Princeton Equity Group Princeton Equity Partners III 2023** $575** NJ Long Ridge Long Ridge Equity Partners V 2023** $650** NY Volition Capital Volition Capital Fund VI 2023** $675** MA JP Morgan Asset Management JP Morgan Growth Equity Fund II 2023** $1,000** NY WestView Capital Partners WestView Capital Partners VI 2023** $1,000** MA Carlyle Carlyle Partners Growth II 2023** $1,300** DC Wellington Management Wellington Hadley Harbor Partners V 2023** $2,600** MA Spectrum Equity Spectrum Select Opportunities Fund II 2024** $300** MA Boston Millennia Partners Boston Millennia Partners VI 2023** $250** MA NGP Energy Technology Partners NGP Energy Technology Partners V 2023** $700** DC Sverica Sverica Capital Partners VII 2023** $750** MA",needs_review_possible_merged_name,,,,,,,,,,,,,,,Insufficient performance data,,"* NY Exeter Capital Exeter Capital II 2022** by * NY Exeter Capital is included from Evercore PFG - North America Growth Market Map - H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
* NY Humble Growth Humble Growth Fund II 2022**,* NY Humble Growth Humble Growth Fund,2024.0,growth,north_america,,,,,,,,$313,Evercore PFG,Evercore PFG - North America Growth Market Map - H1 2026.pdf,11,"2024 2025 2026 Post- 2026 H2 H1 H2 H1 H2 H1 H2 Goldman Sachs Asset Management West Street Global Growth Partners Fund II 2021** $5,200** NY Coatue Management Coatue Growth Fund VI 2021** $7,700** NY Victor Capital Partners Victor Capital Partners Fund III 2022** $310** NY Humble Growth Humble Growth Fund II 2022** $313** NY Rosecliff Ventures Rosecliff Venture Partners IX 2022** $349** NY 1315 Capital 1315 Capital IV 2022** $350** PA Aquiline Capital Partners Aquiline Technology Growth Fund III 2022** $365** NY Exeter Capital Exeter Capital II 2022** $400** MA The Chertoff Group MC2 Security Fund II 2022** $400** DC Greycroft Greycroft Growth V 2022** $432** NY Revolution Ventures Revolution Growth V 2022** $500** DC MVM Partners MVM VII 2022** $516** MA General Atlantic GA Atlas II 2022** $600** NY The Raine Group Raine Partners V 2022** $763** NY JP Morgan Asset Management 270 Growth Fund II 2022** $869** NY Arsenal Capital Partners Arsenal Capital Growth Fund II 2022** $1,100** NY Evolution Equity Partners The Evolution Technology Fund IV 2022** $1,100** NY Ampersand Capital Partners Ampersand 2026 2022** $1,200** MA Spectrum Equity Spectrum Equity XI 2022** $2,000** MA KKR KKR Next Generation Technology Growth Fund IV 2022** $3,000** NY RedBird Capital Partners RedBird Capital Partners Fund V 2022** $4,700** NY Bluestone Equity Partners Bluestone Capital II 2023** $300** NY Orkila Capital Orkila Growth Fund V 2023** $325** NY M33 Growth M33 Growth IV 2023** $340** MA MSP Sports Capital MSP Sports Capital II 2023** $400** NY Princeton Equity Group Princeton Equity Partners III 2023** $575** NJ Long Ridge Long Ridge Equity Partners V 2023** $650** NY Volition Capital Volition Capital Fund VI 2023** $675** MA JP Morgan Asset Management JP Morgan Growth Equity Fund II 2023** $1,000** NY WestView Capital Partners WestView Capital Partners VI 2023** $1,000** MA Carlyle Carlyle Partners Growth II 2023** $1,300** DC Wellington Management Wellington Hadley Harbor Partners V 2023** $2,600** MA Spectrum Equity Spectrum Select Opportunities Fund II 2024** $300** MA Boston Millennia Partners Boston Millennia Partners VI 2023** $250** MA NGP Energy Technology Partners NGP Energy Technology Partners V 2023** $700** DC Sverica Sverica Capital Partners VII 2023** $750** MA",needs_review_possible_merged_name,,,,,,,,,,,,,,,Insufficient performance data,,"* NY Humble Growth Humble Growth Fund II 2022** by * NY Humble Growth Humble Growth Fund is included from Evercore PFG - North America Growth Market Map - H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
* NY M33 Growth M33 Growth IV 2023**,* NY M33 Growth M33 Growth,2024.0,growth,north_america,,,,,,,,$340,Evercore PFG,Evercore PFG - North America Growth Market Map - H1 2026.pdf,11,"2024 2025 2026 Post- 2026 H2 H1 H2 H1 H2 H1 H2 Goldman Sachs Asset Management West Street Global Growth Partners Fund II 2021** $5,200** NY Coatue Management Coatue Growth Fund VI 2021** $7,700** NY Victor Capital Partners Victor Capital Partners Fund III 2022** $310** NY Humble Growth Humble Growth Fund II 2022** $313** NY Rosecliff Ventures Rosecliff Venture Partners IX 2022** $349** NY 1315 Capital 1315 Capital IV 2022** $350** PA Aquiline Capital Partners Aquiline Technology Growth Fund III 2022** $365** NY Exeter Capital Exeter Capital II 2022** $400** MA The Chertoff Group MC2 Security Fund II 2022** $400** DC Greycroft Greycroft Growth V 2022** $432** NY Revolution Ventures Revolution Growth V 2022** $500** DC MVM Partners MVM VII 2022** $516** MA General Atlantic GA Atlas II 2022** $600** NY The Raine Group Raine Partners V 2022** $763** NY JP Morgan Asset Management 270 Growth Fund II 2022** $869** NY Arsenal Capital Partners Arsenal Capital Growth Fund II 2022** $1,100** NY Evolution Equity Partners The Evolution Technology Fund IV 2022** $1,100** NY Ampersand Capital Partners Ampersand 2026 2022** $1,200** MA Spectrum Equity Spectrum Equity XI 2022** $2,000** MA KKR KKR Next Generation Technology Growth Fund IV 2022** $3,000** NY RedBird Capital Partners RedBird Capital Partners Fund V 2022** $4,700** NY Bluestone Equity Partners Bluestone Capital II 2023** $300** NY Orkila Capital Orkila Growth Fund V 2023** $325** NY M33 Growth M33 Growth IV 2023** $340** MA MSP Sports Capital MSP Sports Capital II 2023** $400** NY Princeton Equity Group Princeton Equity Partners III 2023** $575** NJ Long Ridge Long Ridge Equity Partners V 2023** $650** NY Volition Capital Volition Capital Fund VI 2023** $675** MA JP Morgan Asset Management JP Morgan Growth Equity Fund II 2023** $1,000** NY WestView Capital Partners WestView Capital Partners VI 2023** $1,000** MA Carlyle Carlyle Partners Growth II 2023** $1,300** DC Wellington Management Wellington Hadley Harbor Partners V 2023** $2,600** MA Spectrum Equity Spectrum Select Opportunities Fund II 2024** $300** MA Boston Millennia Partners Boston Millennia Partners VI 2023** $250** MA NGP Energy Technology Partners NGP Energy Technology Partners V 2023** $700** DC Sverica Sverica Capital Partners VII 2023** $750** MA",needs_review_possible_merged_name,,,,,,,,,,,,,,,Insufficient performance data,,"* NY M33 Growth M33 Growth IV 2023** by * NY M33 Growth M33 Growth is included from Evercore PFG - North America Growth Market Map - H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
* NY Orkila Capital Orkila Growth Fund V 2023**,* NY Orkila Capital,2024.0,growth,north_america,,,,,,,,$325,Evercore PFG,Evercore PFG - North America Growth Market Map - H1 2026.pdf,11,"2024 2025 2026 Post- 2026 H2 H1 H2 H1 H2 H1 H2 Goldman Sachs Asset Management West Street Global Growth Partners Fund II 2021** $5,200** NY Coatue Management Coatue Growth Fund VI 2021** $7,700** NY Victor Capital Partners Victor Capital Partners Fund III 2022** $310** NY Humble Growth Humble Growth Fund II 2022** $313** NY Rosecliff Ventures Rosecliff Venture Partners IX 2022** $349** NY 1315 Capital 1315 Capital IV 2022** $350** PA Aquiline Capital Partners Aquiline Technology Growth Fund III 2022** $365** NY Exeter Capital Exeter Capital II 2022** $400** MA The Chertoff Group MC2 Security Fund II 2022** $400** DC Greycroft Greycroft Growth V 2022** $432** NY Revolution Ventures Revolution Growth V 2022** $500** DC MVM Partners MVM VII 2022** $516** MA General Atlantic GA Atlas II 2022** $600** NY The Raine Group Raine Partners V 2022** $763** NY JP Morgan Asset Management 270 Growth Fund II 2022** $869** NY Arsenal Capital Partners Arsenal Capital Growth Fund II 2022** $1,100** NY Evolution Equity Partners The Evolution Technology Fund IV 2022** $1,100** NY Ampersand Capital Partners Ampersand 2026 2022** $1,200** MA Spectrum Equity Spectrum Equity XI 2022** $2,000** MA KKR KKR Next Generation Technology Growth Fund IV 2022** $3,000** NY RedBird Capital Partners RedBird Capital Partners Fund V 2022** $4,700** NY Bluestone Equity Partners Bluestone Capital II 2023** $300** NY Orkila Capital Orkila Growth Fund V 2023** $325** NY M33 Growth M33 Growth IV 2023** $340** MA MSP Sports Capital MSP Sports Capital II 2023** $400** NY Princeton Equity Group Princeton Equity Partners III 2023** $575** NJ Long Ridge Long Ridge Equity Partners V 2023** $650** NY Volition Capital Volition Capital Fund VI 2023** $675** MA JP Morgan Asset Management JP Morgan Growth Equity Fund II 2023** $1,000** NY WestView Capital Partners WestView Capital Partners VI 2023** $1,000** MA Carlyle Carlyle Partners Growth II 2023** $1,300** DC Wellington Management Wellington Hadley Harbor Partners V 2023** $2,600** MA Spectrum Equity Spectrum Select Opportunities Fund II 2024** $300** MA Boston Millennia Partners Boston Millennia Partners VI 2023** $250** MA NGP Energy Technology Partners NGP Energy Technology Partners V 2023** $700** DC Sverica Sverica Capital Partners VII 2023** $750** MA",needs_review_possible_merged_name,,,,,,,,,,,,,,,Insufficient performance data,,"* NY Orkila Capital Orkila Growth Fund V 2023** by * NY Orkila Capital is included from Evercore PFG - North America Growth Market Map - H1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
